Host Since,Host Response Time,Host Response Rate,Host Verifications,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 60,Availability 365,Number of Reviews,Last Review,Review Scores Rating,Review Scores Location,Cancellation Policy,Calculated host listings count,Reviews per Month
2556,0.0,0.0,4.0,0,1,2,1.0,1.0,1.0,1,11.0,150.0,100.0,30.0,1,0,15,1125,0,0,0,3954.0,92.0,10.0,0,1.0,0.0
3004,3.0,100.0,5.0,0,1,2,1.0,1.0,1.0,1,12.0,38.0,0.0,0.0,1,0,1,1125,38,309,5,2256.0,100.0,10.0,2,1.0,0.47
2541,3.0,100.0,5.0,0,0,10,2.0,4.0,7.0,1,20.0,175.0,200.0,40.0,6,15,1,1125,1,193,22,2251.0,99.0,10.0,1,3.0,5.55
2599,1.0,80.0,5.0,0,0,6,1.0,1.0,3.0,1,12.0,64.0,0.0,0.0,1,0,1,1125,11,293,29,2267.0,86.0,10.0,0,1.0,2.5
3656,3.0,100.0,3.0,0,1,2,1.0,1.0,1.0,1,10.0,40.0,300.0,20.0,1,20,2,1125,10,315,41,2274.0,97.0,10.0,2,1.0,1.06
3676,3.0,100.0,4.0,0,0,4,1.0,2.0,2.0,1,12.0,60.0,180.0,35.0,1,0,3,1125,16,31,41,2269.0,89.0,10.0,0,2.0,3.26
4307,3.0,86.0,5.0,0,0,5,2.0,2.0,3.0,1,8.0,99.0,200.0,20.0,1,0,1,1125,15,222,73,2293.0,85.0,10.0,2,3.0,1.59
3760,3.0,100.0,4.0,0,0,3,1.0,1.0,1.0,1,9.0,100.0,200.0,40.0,2,10,2,1125,8,288,19,2270.0,96.0,10.0,2,3.0,0.44
2309,3.0,100.0,3.0,0,0,5,1.0,2.0,3.0,1,15.0,110.0,200.0,30.0,3,15,2,1125,22,142,5,2262.0,80.0,10.0,0,2.0,3.75
2864,2.0,100.0,4.0,0,0,4,1.0,1.0,2.0,1,14.0,70.0,100.0,50.0,1,0,3,1125,30,325,51,2272.0,95.0,10.0,1,1.0,2.67
2982,1.0,50.0,3.0,0,1,2,5.0,1.0,1.0,1,19.0,34.0,200.0,0.0,1,0,2,1125,0,3,0,3954.0,92.0,10.0,2,38.0,0.0
2757,3.0,94.0,3.0,0,0,4,1.0,1.0,2.0,1,9.0,65.0,90.0,25.0,2,20,1,1125,45,216,12,2427.0,73.0,9.0,2,5.0,0.89
2992,2.0,77.0,3.0,0,0,3,1.0,0.0,2.0,1,13.0,65.0,100.0,30.0,1,7,2,1125,30,335,11,2445.0,89.0,10.0,2,2.0,0.48
3288,3.0,100.0,4.0,0,0,4,1.0,1.0,2.0,1,18.0,55.0,200.0,25.0,2,18,3,1125,21,286,39,2283.0,93.0,10.0,0,3.0,1.25
2921,2.0,97.0,5.0,1,1,2,5.0,1.0,2.0,1,13.0,45.0,0.0,0.0,1,0,1,1125,50,345,1,2334.0,80.0,8.0,0,7.0,0.35
3106,2.0,100.0,4.0,1,1,2,1.0,1.0,2.0,1,21.0,65.0,100.0,17.0,2,20,2,1125,14,101,57,2260.0,98.0,10.0,1,2.0,4.32
4046,1.0,86.0,4.0,15,0,5,1.0,1.0,3.0,1,11.0,60.0,0.0,35.0,2,10,3,1125,2,168,11,2743.0,93.0,10.0,2,2.0,0.26
3664,3.0,100.0,2.0,0,1,4,1.0,1.0,1.0,0,12.0,36.0,150.0,10.0,1,25,1,999,4,309,0,3954.0,92.0,10.0,1,1.0,0.0
3051,0.0,0.0,3.0,0,1,1,1.0,1.0,1.0,1,12.0,36.0,0.0,0.0,1,0,1,1125,59,364,0,3954.0,92.0,10.0,0,1.0,0.0
2772,1.0,93.0,3.0,0,0,2,1.0,1.0,1.0,1,13.0,67.0,0.0,0.0,1,0,2,70,38,152,16,2258.0,90.0,10.0,1,2.0,1.19
3051,3.0,100.0,4.0,0,0,3,1.0,0.0,1.0,1,20.0,70.0,0.0,25.0,2,40,1,1125,31,186,3,2305.0,100.0,9.0,2,2.0,1.41
3323,1.0,60.0,3.0,0,0,6,2.0,3.0,3.0,1,18.0,98.0,100.0,40.0,1,12,2,1125,19,310,40,2342.0,89.0,10.0,1,1.0,2.35
4425,0.0,33.0,3.0,0,0,4,1.0,1.0,2.0,1,13.0,185.0,200.0,30.0,4,0,1,50,8,275,0,3954.0,92.0,10.0,1,14.0,0.0
2422,1.0,100.0,3.0,0,0,3,1.0,1.0,2.0,0,15.0,80.0,300.0,40.0,3,15,2,1125,10,25,2,2284.0,100.0,10.0,1,1.0,1.5
2948,3.0,100.0,3.0,0,0,2,1.0,0.0,1.0,1,17.0,39.0,200.0,20.0,2,15,2,1125,22,191,73,2270.0,87.0,10.0,2,4.0,3.72
3730,3.0,100.0,4.0,16,0,11,2.0,4.0,6.0,1,18.0,150.0,0.0,40.0,7,0,1,1125,19,284,82,2261.0,80.0,9.0,2,46.0,2.56
2423,3.0,100.0,3.0,0,0,4,1.0,1.0,2.0,1,19.0,100.0,350.0,0.0,2,10,1,1125,40,158,1,2256.0,100.0,10.0,1,5.0,1.0
2280,3.0,100.0,2.0,0,0,4,1.0,1.0,2.0,1,15.0,64.0,200.0,29.0,2,15,2,1125,18,310,1,2270.0,100.0,10.0,0,1.0,1.0
3625,3.0,100.0,2.0,0,0,3,1.0,1.0,2.0,1,11.0,50.0,0.0,0.0,1,0,2,15,0,0,5,2269.0,100.0,10.0,2,1.0,1.03
2587,3.0,100.0,5.0,0,0,4,1.0,1.0,3.0,1,16.0,85.0,170.0,30.0,2,7,2,1125,16,300,34,2263.0,96.0,10.0,0,1.0,3.11
2294,0.0,0.0,6.0,8,1,1,2.0,1.0,1.0,1,13.0,37.0,200.0,30.0,1,0,7,1125,37,342,0,3954.0,92.0,10.0,2,26.0,0.0
2395,3.0,100.0,3.0,0,0,2,1.0,0.0,2.0,1,15.0,60.0,150.0,30.0,1,0,2,1125,47,73,0,3954.0,92.0,10.0,0,3.0,0.0
2802,3.0,100.0,4.0,0,1,1,2.0,1.0,1.0,1,21.0,35.0,0.0,20.0,1,0,1,1125,0,286,7,2255.0,91.0,9.0,0,2.0,0.4
2475,2.0,100.0,6.0,0,1,2,1.0,1.0,1.0,1,14.0,40.0,0.0,15.0,1,15,2,1125,37,64,19,2313.0,98.0,10.0,1,1.0,2.73
3900,3.0,98.0,4.0,0,0,4,1.0,1.0,2.0,1,15.0,68.0,120.0,40.0,2,13,3,365,17,316,43,2268.0,92.0,10.0,1,9.0,1.03
3251,3.0,89.0,2.0,0,0,3,1.0,2.0,2.0,1,21.0,110.0,0.0,40.0,1,0,5,25,47,352,0,3954.0,92.0,10.0,0,3.0,0.0
2722,3.0,100.0,6.0,0,0,2,1.0,1.0,1.0,1,16.0,45.0,0.0,0.0,1,0,2,1125,4,102,1,2380.0,100.0,8.0,0,1.0,0.23
3325,3.0,100.0,4.0,0,0,6,1.0,2.0,4.0,1,24.0,79.0,100.0,29.0,4,15,2,1125,16,86,127,2256.0,94.0,10.0,1,3.0,6.26
2812,1.0,100.0,3.0,0,0,4,2.0,2.0,3.0,1,19.0,90.0,200.0,50.0,2,15,3,1125,52,357,12,2346.0,92.0,9.0,1,1.0,0.74
4343,2.0,100.0,4.0,0,1,2,1.0,1.0,1.0,1,17.0,28.0,200.0,15.0,1,5,5,60,44,224,3,2269.0,100.0,10.0,1,1.0,0.7
2563,0.0,0.0,9.0,14,1,1,1.0,1.0,1.0,1,24.0,24.0,0.0,0.0,1,0,1,1125,0,0,2,2347.0,100.0,10.0,0,1.0,0.45
2481,0.0,0.0,3.0,0,0,2,1.0,2.0,2.0,1,10.0,47.0,0.0,0.0,1,0,3,7,10,12,0,3954.0,92.0,10.0,0,1.0,0.0
3940,2.0,100.0,3.0,0,1,1,2.0,1.0,1.0,0,18.0,35.0,100.0,30.0,4,30,2,1125,58,363,5,2955.0,60.0,6.0,2,2.0,0.16
2660,1.0,100.0,4.0,0,0,4,1.0,1.0,1.0,1,12.0,71.0,150.0,0.0,1,0,2,1125,41,212,0,3954.0,92.0,10.0,1,10.0,0.0
